ScaleVector2D,8.415312,9.408604,67108864
ScaleVector3D,5.103877,5.706308,67108864
MultiplyVector2D,6.610731,7.391022,67108864
MultiplyVector3D,5.092762,5.693882,67108864
TranslateVector2D,7.067149,7.901313,67108864
TranslateVector3D,5.075666,5.674767,67108864
SubtractVector2D,6.506979,7.275024,67108864
SubtractVector3D,5.051379,5.647613,67108864
LengthVector2D,4.960169,5.545638,67108864
LengthVector3D,3.611264,4.037517,134217728
DotProductVector2D,4.696622,5.250982,134217728
DotProductVector2D,4.527147,5.061505,67108864
