Test,Mean,Deviation,Count
ScaleVector2D,8.073,3.681,67108864
ScaleVector3D,5.964,2.719,67108864
MultiplyVector2D,6.184,2.821,67108864
MultiplyVector3D,5.065,2.310,67108864
TranslateVector2D,6.015,2.745,67108864
TranslateVector3D,5.025,2.293,67108864
SubtractVector2D,5.909,2.697,67108864
SubtractVector3D,5.072,2.311,67108864
LengthVector2D,4.555,2.079,67108864
LengthVector3D,3.549,1.620,134217728
DotProductVector2D,4.093,1.868,134217728
DotProductVector3D,3.538,1.615,134217728
